,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BARAKATI CRUISES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OPEN TRIP SCHEDULE 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STATUS,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CONFIRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PRIVATE CHARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ROOM,,,,MARCH,APRIL ,,,,MAY,,,,,JUNE,,,,JULY,,,,AUGUST,,,,,SEPTEMBER,,,,,OCTOBER,,,,,NOVEMBER,,,,DECEMBER,,,,
,,,,,3-5, 4-6, 11-13, 18-20,25-27,   2-4, 9-11, 16-18,23-25, 30-1, 6-8, 13-15, 20-22,27-29, 4-6, 11-13, 18-20,25-27, 1-3, 8-10, 15-17,22-24, 29-31, 5-7, 12-14, 15-17 , 19-21,26-28, 3-5, 10-12, 17-19,24-26 , 31-2 , 7-9, 14-16, 21-23,28-30, 5-7, 12-14, 19-21,22-24,26-28
,WAKATOBI (MASTER ROOM-MAIN DECK),,,,,KKT,,EKT,,KTR,STVS,,,JSP,,,EKT,,,DS,,,KTR,BLM,,EKT,CPN,MLN,KBT,WLS,BLM,SR,KT,LBL,SR,EKT,BLT,,,,,,,,DS,
,OCEAN VIEW WITH BALCONY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDR. 6.750.000/PERSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WOLIO (MASTER ROOM-UPPER DECK),,,,SR,ARS,,STV,,KTR,EVRT,,,CRL,,,EKT,,,LBL,,,EKT,KTR,,EKT,EKT,WLS,DTI,JSPR,EKT,EKT,TT,SPR,IDW,EKT,KIT,,,,,,,,DS,
,OCEAN VIEW WITH BALCONY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDR. 6.750.000/PERSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NIRWANA (DELUXE ROOM-MAIN DECK),,,,AMV,ARS,,KTR,,PTI,MICL,,,EKT,,,BLT,,,SDR,,,KTR,EKT,,SR,EKT,SR,EKT,JSPR,EKT,SR,EKT,NKL,IDW,,,,,,,,,,DS,
,OCEAN VIEW WITH BALCONY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDR. 6.250.000/PERSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BONELALO (DELUXE ROOM-UPPER DECK),,,,SR,SR,,KTR,,CJS,EKT,,,KTR,,,,,,,,,KTR,EKT,,SR,EKT,KIT,EKT,TPV,EKT,EKT,EKT,,,,,,,,,,,,,
,OCEAN VIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDR. 6.000.000/PERSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KADATUA (SUPERIOR ROOM-LOWER DECK),,,,,BSKR,,EKT,,BJX,,,,KME,,,SR,,,,,,EKT,EKT,,SR,EKT,DS,EKT,EKT,EKT,LBL,KMX,EKT,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDR. 4.750.000/PERSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WEEKDAY,,,,,,,,,,,,,,,WEEKDAY,
