0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Colour Indicator,,CRUISES SCHEDULE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Avalaible/Vacant,,2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,Booked private,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Booked Open trip,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cruises LaMain,,Docking,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January 2024,,,,,,,,February 2024,,,,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,,,,,1,2,3,4,,,,,,,,,,,,,,
,8,9,10,11,12,13,14,,5,6,7,8,9,10,11,,,,,,,,,,,,,,
,15,16,17,18,19,20,21,,12,13,14,15,16,17,18,,,,,,,,,,,,,,
,22,23,24,25,26,27,28,,19,20,21,22,23,24,25,,,,,,,,,,,,,,
,29,30,31,,,,,,26,27,28,29,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,March 2024,,,,,,,,April 2024,,,,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,,,,,,,,,,,
,,,,,1,2,3,,OT,2,3,OT,,6,7,,,,,,,,,,,,,,
,4,5,6,7,8,9,10,,OT,,10,OT,12,OT,,,,,,,,,,,,,,,
,11,12,13,14,15,16,17,,OT,,,18,OT,,,,,,,,,,,,,,,,
,18,19,20,21,22,23,24,,OT,,OT,25,26,27,28,,,,,,,,,,,,,,
,25,26,27,28,29,30,OT,,29,30,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May 2024,,,,,,,,June 2024,,,,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,,,,,,,,,,,
,,,1,2,3,4,5,,,,,,,1,2,,,,,,,,,,,,,,
,6,7,8,9,10,11,12,,3,4,5,6,7,8,9,,,,,,,,,,,,,,
,13,14,Suarak,16,17,18,19,,10,11,12,13,14,15,16,,,,,,,,,,,,,,
,20,21,22,23,24,25,26,,17,18,19,20,21,22,23,,,,,,,,,,,,,,
,27,28,29,30,31,,,,24,25,26,27,28,29,30,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,July 2024,,,,,,,,August 2024,,,,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,,,,,ot,Kevin,open trip,4,,,,,,,,,,,,,,
,8,9,10,11,12,13,14,,ot,6,7,8,9,10,11,,,,,,,,,,,,,,
,15,16,17,18,19,20,21,,12,NON,14,15,16,17,18,,,,,,,,,,,,,,
,22,23,24,julia,26,27,28,,19,20,WAH,22,23,24,25,,,,,,,,,,,,,,
,29,opentrip,opentrip,,,,,,LC!,27,28,29,30,31,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,September 2024,,,,,,,,October 2024,,,,,,,,,,,,,,October 2024,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,,,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
,,,,,,,1,,,1,2,3,TR,5,DNA,,,,,,,,,,,,,,
,2,3,4,5,6,7,8,,7,8,9,10,11,ALF,13,,,,,,,,,,,,,,
,9,10,11,@Efrin ,13,14,DN,,14,15,16,17,18,Phisopix,20,,,,,,,,,,,,,,
,16,17,18,19,20,IJT,22,,21,22,23,24,SPL,SPL,27,,,,,,,,,,,,,,
,23,24,25,26,DN,28,29,,28,29,30,31,,,,,,,,,,,,,,,,,
,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,November 2024,,,,,,,,December 2024,,,,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,,,,,,,,,,,
,,,,,IKHWN,2,3,,,,,,,,an lbjtrip,,,,,,,,,,,,,,
,4,5,6,7,8,9,10,,2,3,4,5,6,7,8,,,,,,,,,,,,,,
,11,12,13,14,15,16,17,,9,10,11,12,13,14,15,,,,,,,,,,,,,,
,18,19,20,21,22,23,24,,YLN,17,18,19,20,21,22,,,,,,,,,,,,,,
,25,26,27,28,29,30,,,23,24,25,26,27,,ale,,,,,,,,,,,,,,
,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Colour Indicator,,PRIVATE CHARTER SAILING KOMODO,,,,,,,,,,,,,,,,,,,,,,,,
,,,OPEN TRIP,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Avalaible/Vacant,,2025,,,,,,,,,,,,,,,,,,,,,,,,
,,,Booked,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hold,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cruises LaMain,,Docking,,,,,,,,,,,,,,,,,,,,,,,,,,
