deeee3,,,,,,,,,,,,,,,
,,,Colour Indicator,,PRIVATE CHARTER SAILING KOMODO,,,,,,,,,,
,,,OPEN TRIP,,,,,,,,,,,,
,,,Avalaible/Vacant,,2024,,,,,,,,,,
,,,Booked,,,,,,,,,,,,
,,,Hold,,,,,,,,,,,,
,LaMain Voyages 1,,Docking,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,January 2024,,,,,,,,February 2024,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
,1,2,3,RST,,,,,,,,1,2,3,4
,8,9,10,11,12,13,14,,5,6,7,8,9,10,11
,15,16,17,18,19,20,21,,12,13,PILPRES,15,16,17,18
,22,23,24,25,26,27,28,,19,20,21,22,23,24,25
,29,30,31,,,,,,26,27,28,29,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,March 2024,,,,,,,,April 2024,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
,,,,,sidiq,2,3,,1,2,3,4,OPEN TRIP,,
,4,5,6,RST,,,,,8,Merry,,,,13,14
,11,12,13,14,15,16,17,,15,16,17,18,gandiva,,
,18,19,20,21,22,23,24,,22,23,24,25,OPEN TRIP,,
,25,26,Tatah,,,,31,,29,30,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,May 2024,,,,,,,,June 2024,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
,,,1,2,Open Trip,,,,,,,,,1,2
,Ana,,,,,,,,3,4,5,6,7,8,9
,13,14,15,16,Open Trip,,,,10,11,12,13,14,15,Calvin
,20,21,22,23,24,25,26,,Calvin,,19,20,21,22,23
,27,28,29,30,31,,,,24,PTR,PTR,PTR, ,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,July 2024,,,,,,,,August 2024,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
