,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Colour Indicator,,PRIVATE CHARTER SAILING KOMODO,,,,,,,,,,,,,,,,,,,,,,,
,,,,Avalaible/Vacant,,2023,,,,,,,,,,,,,,,,,,,,,,,
,,,,Booked,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hold,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Docking,,,,,,,,,,,,,,,,,,,,,,,,,
,LaMain Voyages 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AGUSTUS,,,,,,,,SEPTEMBER,,,,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,,,,,,,,,,,
,,1,2,IBU YANTI,,OWNER,,,,,,,1,2,3,,,,,,,,,,,,,,
,7,8,9,10,11,12,13,,4,5,6,7,8,9,10,,,,,,,,,,,,,,
,14,15,16,17,,,,,11,12,13,,,,,,,,,,,,,,,,,,
,21,22,23,24,,,,,18,19,20,21,22,23,24,,,,,,,,,,,,,,
,28,29,30,31,,,,,25,26,27,28,29,30,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OKTOBER,,,,,,,,NOVEMBER,,,,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,,,,,,,,,,,
,,,,,,,1,,,,1,2,Zar,,5,,,,,,,,,,,,,,
,2,3,4,5,5,7,8,,6,7,8,9,10,look ind,12,,,,,,,,,,,,,,
,9,10,11,12,,,15,,13,14,15,ASK,,18,19,,,,,,,,,,,,,,
,16,17,18,,,,,,20,21,22,23,ZD,,26,,,,,,,,,,,,,,
,,,,,27,28,,,27,28,29,30,,,,,,,,,,,,,,,,,
,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DESEMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,,,,,,,,,,,,,,,,,,,
,,,,,#Open Trip,,,,,,,,,,,,,,,,,,,,,,,,
,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,,,,,,,
,runaway,,,14,brian,,,,,,,,,,,,,,,,,,,,,,,,
,18,19,20,21,22,23,Indo trip,,,,,,,,,,,,,,,,,,,,,,
,Indo trip,,27,28,LF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Colour Indicator,,PRIVATE CHARTER SAILING KOMODO,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Avalaible/Vacant,,2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,Booked,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hold,,,,,,,,,,,,,,,,,,,,,,,,,,
,LaMain Voyages 2,,Docking,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January 2024,,,,,,,,February 2024,,,,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,,,,,,,,,,,
,1,2,3,East ind,,,,,,,,1,2,3,4,,,,,,,,,,,,,,
,East Ind,9,10,11,12,13,14,,5,6,7,8,9,10,11,,,,,,,,,,,,,,
,15,16,17,18,19,20,21,,12,13,PILPRES,15,16,17,18,,,,,,,,,,,,,,
,22,23,24,25,26,27,28,,19,20,21,22,23,24,25,,,,,,,,,,,,,,
,29,30,31,,,,,,26,27,28,29,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
