,,,,,
,,,,,
PRICELIST CHARTER SIP  2025,,,,,
PRIVATE,1D,2D1N,3D2N,4D3N,5D4N
,(Maks 15pax),(Maks 12pax),(Maks 12pax),(Maks 12pax),(Maks 12pax)
1 - 4 pax,30.000.000,34.000.000,40.000.000,46.000.000,Ask
5 - 8 pax,,37.000.000,43.000.000,48.000.000,
9 - 12 pax,,40.000.000,46.000.000,52.000.000,
PICTURES :,https://shorturl.at/CHFtm,,,,
BOAT         :  ,"5 cabins with private bathroom each cabins, Sundeck, Dinning Area",,,,
,,,,,
PRICELIST CHARTER BEHIKE 2025,,,,,
PRIVATE,1D,2D1N,3D2N,4D3N,5D4N
,(12-35 pax),(Maks 12pax),(Maks 12pax),(Maks 12pax),(Maks 12pax)
1 - 4 pax,Rp60.000.000,Rp65.000.000,Rp80.000.000,Rp105.000.000,Rp140.000.000
5 - 8 pax,,Rp70.000.000,Rp85.000.000,Rp115.000.000,Rp150.000.000
9 - 12 pax,,Rp75.000.000,Rp90.000.000,Rp125.000.000,Rp160.000.000
PICTURES  :,https://bit.ly/4cXBfOY,,,,
BOAT          :    ,"6 cabins with private bathroom,AC,Sundeck,Dinning Area",,,,
,,,,,
PRICELIST CHARTER ASTERIX 2025,,,,,
PRIVATE,1D,2D1N,3D2N,4D3N,
,Maks 12 pax,(Maks 12pax),(Maks 12pax),(Maks 12pax),
1 - 5 pax,Rp24.000.000,Rp27.000.000,Rp34.000.000,Rp41.000.000,
6 - 9 pax,,Rp31.000.000,Rp38.000.000,Rp45.000.000,
10 - 12 pax,,Rp35.000.000,Rp42.000.000,Rp49.000.000,
PICTURES  :,https://drive.google.com/drive/folders/19pPqO6e0OsAva-GURMClf8eXMwjYv6W_,,,,
BOAT          :    ,"4 cabins with private bathroom,AC,Sundeck and Dinning area",,,,
