VINCA OPEN TRIP SCHEDULE 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVAILABLE,HOLD,BOOK,,"NOTE : Shared trip dates may be utilized for private bookings if all rooms remain unoccupied


",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOLD MAXIMUM 2X24 HOURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINCA VOYAGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabin,3-5 JAN,6-8 JAN,10-12 JAN,13-15 JAN,21-23 FEB,24-26 FEB,28 FEB-2 MAR,7-9 MAR,10-12 MAR,14-16 MAR,17-19 MAR,21-23 MAR,28-30 MAR,4-6 APR, 7-9 APR,11-13 APR, 14-15 APR,18-20 APR, 21-23 APR,25-27 APR,29 APR-1 MAY,2-4 MAY,5-7 MAY,9-11 MAY, 12-14 MAY,16-18 MAY,19-21 MAY,23-25 MAY,27-29 MAY,30 MAY-1 JUN,2-4 JUN,6-8 JUN,10-12 JUN,13-15 JUN, 16-18 JUN,20-22 JUN,23-25 JUN,27-29 JUN, 30 JUN - 2 JUL,4-6 JUL,7-9 JUL,11-13 JUL, 14-16 JUL,18-20 JUL,21-23 JUL,25-27 JUL,1-3 AUG,4-6 AUG,8-10 AUG,11-13 AUG,15-17 AUG,18-20 AUG,22-24 AUG,25-27 AUG,29-31 AUG,1-3 SEPT,5-7 SEPT,8-10 SEPT,12-14 SEPT,15-17 SEPT,19-21 SEPT,22-24 SEPT,26-28 SEPT,29 SEPT-1 OCT,3-5 OCT, 6-8 OCT,10-12 OCT,13-15 OCT,17-19 OCT,24-26 OCT,27-29 OCT,31 OCT-2 NOV,3-5 NOV,7-9 NOV,10-12 NOV,14-16 NOV,17-19 NOV,21-23 NOV,24-26 NOV,28-30 NOV,1-3 DEC,5-7 DEC,8-10 DEC,12-14 DEC,15-17 DEC,19-21 DEC,23-25 DEC,26-28 DEC
"WESTERN I    8,000,000/pax       Main Deck          Balcony",BOOK V102,BOOK V127,BOOK V101,BOOK V127,BOOK V119,BOOK VC0302,BOOK V125,BOOK VC1401,BOOK V112,BOOK VC2311,BOOK V102,BOOK V134,BOOK V113,BOOK VC2510,BOOK V122,BOOK V121,BOOK VC2001,BOOK V128,BOOK VC 1811,BOOK V124,BOOK V102,BOOK VC0401,BOOK V1310,BOOK V135,BOOK V112,BOOK V112,BOOK V102,BOOK VC1003,BOOK VC0902,BOOK V122,BOOK VC0603,BOOK V126,BOOK VC1902,BOOK VC1510,BOOK VC0503,BOOK V128,BOOK VC0612,BOOK VC0301,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V128,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V112,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V128,BOOK V101,BOOK V101,BOOK V101,BOOK V128,BOOK V128,BOOK V102,BOOK V101,BOOK V138,BOOK V137,,,BOOK V156,BOOK V120,BOOK V125,,,,,,HOLD MAR.,,BOOK V128,,BOOK V128,,BOOK V166
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WESTERN II    8,000,000/pax       Main Deck         Balcony",BOOK V121,BOOK VC2712,BOOK V117,BOOK VC0212,BOOK V129,BOOK VC0502,BOOK V102,BOOK V136,BOOK V128,BOOK VC1501,BOOK V116,BOOK VC2402,BOOK V113,BOOK V102,BOOK V128,BOOK VC1702,BOOK VC2001,BOOK V112,BOOK VC 1811,BOOK V110,BOOK V130,BOOK VC0701,BOOK V1310,BOOK VC1102,BOOK VC0302,BOOK VC2403,BOOK VC3101,BOOK VC1403,,,BOOK V127,BOOK V126,BOOK VC1004,BOOK V112,BOOK V128,BOOK V102,BOOK V101,BOOK V102,BOOK V101,BOOK V101,BOOK VC2503,BOOK V101,BOOK V101,BOOK V101,BOOK V128,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V112,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V128,BOOK V101,BOOK V101,BOOK V124,BOOK VC0204,HOLD KLX.,BOOK V102,BOOK V119,BOOK V138,BOOK V110,,,BOOK V128,BOOK V108,BOOK V149,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JAPANESE I   8,000,000/pax       Upper Deck        Balcony",BOOK V102,BOOK V102,BOOK V119,BOOK VC0212,BOOK V101,BOOK VC3012,BOOK V101,BOOK VC1301,BOOK V136,BOOK V128,BOOK V102,BOOK VC2701,BOOK V113,BOOK VC2312,BOOK V102,BOOK VC1301,BOOK VC2001,BOOK VC209,BOOK VC 1811,BOOK V110,BOOK VC2312,BOOK VC0701,BOOK V1310,BOOK V131,BOOK SF,BOOK VC 129,BOOK V128,BOOK VC1003,BOOK VC2401,,BOOK V128,BOOK V126,BOOK VC1902,BOOK V120,BOOK VC0503,BOOK V121,BOOK VC1402,BOOK V142,BOOK V101,BOOK V119,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK VC2502,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK VC2502,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK VC1004,BOOK V101,BOOK V101,BOOK VC2503,BOOK V128,BOOK V128,BOOK VC0302,BOOK V101,BOOK V138,BOOK V128,BOOK V128,BOOK V128,BOOK VC2406,BOOK V108,BOOK V112,HOLD SEEK,HOLD TAT.,HOLD FLP,BOOK V128,,,,BOOK V128,BOOK V116,BOOK V128,HOLD VNC,BOOK V177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JAPANESE II   8,000,000/pax       Upper Deck           Balcony",BOOK VC 1111,BOOK V117,BOOK VC2612,BOOK V102,BOOK V101,BOOK V128,BOOK V101,BOOK V102,BOOK V128,BOOK V128,BOOK VC0403,BOOK VC2402,BOOK V113,BOOK VC1401,BOOK VC2201,BOOK VC2201,BOOK VC2001,BOOK VC,BOOK VC 1811,BOOK V121,BOOK VC2712,BOOK VC0701,BOOK V1310,BOOK V132,BOOK V133,BOOK VC 910,BOOK VC1202,BOOK VC1003,BOOK V102,,BOOK VC1103,BOOK V126,BOOK V1704,BOOK V120,BOOK V162,BOOK V128,BOOK V128,BOOK V142,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK VC0403,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V128,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V101,BOOK V130,BOOK V101,BOOK V101,BOOK VC2503,BOOK V128,BOOK V174,BOOK V128,BOOK VC0708,BOOK V138,BOOK V128,BOOK V173,,,,,BOOK VC2208,,,,,,,,,BOOK V128,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
