,,,,,,,,,,,,,,,,
,Available,Booked Private,Hold,Open Trip,Dock,DOCK,,,,,,,,,,
,,,,,,,,,,,,,,,,
,SEA ESCAPE SCHEDULE 2025,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,Harap hubungin admin apabila ingin booking Private Chater di tanggal Open Trip,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,January,,,,,,,,,July,,,,,
,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
,,,1,2,3,4,5,,,,1,2,3,4,5,6
,,,,,,,,,,,EB,,,,,
,6,7,8,9,10,11,12,,,7,8,9,10,11,12,13
,,,,,,,,,,,EB,,RV,IJTP-1415,,
,13,14,15,16,17,18,19,,,14,15,16,17,18,19,20
,,,,,,,,,,,AKS,,,HF,,AKS
,20,21,22,23,24,25,26,,,21,22,23,24,25,26,27
,,,,,,,,,,,,,,,,
,27,28,29,30,31,,,,,28,29,30,31,,,
,,,,,,,,,,,,,B-0883,,,
,,,,,,,,,,,,,,,,
,,February,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,,,,,,
,,,,,,1,2,,,,,,,,,
,,,,,,,,,,,,,,,,
,3,4,5,6,7,8,9,,,,,,,,,
,,,,,,,,,,,,,,,,
,10,11,12,13,14,15,16,,,,,,,,,
,,,,,,,,,,,,,,,,
,17,18,19,20,21,22,23,,,,,,,,,
,,,,,,,,,,,,,,,,
,24,25,26,27,28,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,March,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,,,,,,
,,,,,,1,2,,,,,,,,,
,,,,,,,,,,,,,,,,
,3,4,5,6,7,8,9,,,,,,,,,
,,,,,,,,,,,,,,,,
,10,11,12,13,14,15,16,,,,,,,,,
,,,,,,,,,,,,,,,,
,17,18,19,20,21,22,23,,,,,,,,,
,,,,,,,,,,,,,,,,
,24,25,26,27,28,29,30,,,,,,,,,
,,,,,,,,,,,,,,,,
,31,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,April,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,,,,,,
,,1,2,3,4,5,6,,,,,,,,,
,,,,,,,,,,,,,,,,
,7,8,9,10,11,12,13,,,,,,,,,
,,,,,,,,,,,,,,,,
,14,15,16,17,18,19,20,,,,,,,,,
,,,,,,,,,,,,,,,,
,21,22,23,24,25,26,27,,,,,,,,,
,,,,,,,,,,,,,,,,
,28,29,30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,May,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,,,,,,
,,,,1,2,3,4,,,,,,,,,
,,,,,,,,,,,,,,,,
,5,6,7,8,9,10,11,,,,,,,,,
,,,,,,,,,,,,,,,,
,12,13,14,15,16,17,18,,,,,,,,,
,,,,,,,,,,,,,,,,
,19,20,21,22,23,24,25,,,,,,,,,
,,,,,,,,,,,,,,,,
,26,27,28,29,30,31,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,June,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,,,,,,
,,,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,
,2,3,4,5,6,7,8,,,,,,,,,
,,,,,,,,,,,,,,,,
,9,10,11,12,13,14,15,,,,,,,,,
,,,,V108,,,,,,,,,,,,
,16,17,18,19,20,21,22,,,,,,,,,
,,,,,,,,,,,,,,,,
,23,24,25,26,27,28,29,,,,,,,,,
,,,,,,,HEN,,,,,,,,,
,30,,,,,,,,,,,,,,,
