,Available,Booked Private,Hold,Open Trip,Marathon,ONEDAY/2D1N TRIP,DOCK,,,NOTE : UNTUK TANGGAL OPEN TRIP DAPAT DI GANTI PRIVATE TRIP APABILA BELUM ADA BOOKING ROOM. *Dapat dilihat pada excel VINCA ROOM AVAILABLE,,,,,,,
,,,,VINCA PRIVATE TRIP SCHEDULE 2025,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,January,,,,,,,,,,July,,,,,
,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
,,,1,2,3,4,5,,,,,1,2,3,4,5,6
,6,7,8,9,10,11,12,,,,7,8,9,10,11,12,13
,13,14,15,16,17,18,19,,,,14,15,16,17,18,19,20
,20,21,22,23,24,25,26,,,,21,22,23,24,25,26,27
,27,28,29,30,31,,,,,,28,29,30,31,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,February,,,,,,,,,,August,,,,,
,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
,,,,,,1,2,,,,,,,,1,2,3
,3,4,5,6,7,8,9,,,,4,5,6,7,8,9,10
,10,11,12,13,14,15,16,,,,11,12,13,14,15,16,17
,17,18,19,20,21,22,23,,,,18,19,20,21,22,23,24
,24,25,26,27,28,,,,,,25,26,27,28,29,30,31
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,March,,,,,,,,,,September,,,,,
,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
,,,,,,1,2,,,,1,2,3,4,5,6,7
,3,4,5,6,7,8,9,,,,8,9,10,11,12,13,14
,10,11,12,13,14,15,16,,,,15,16,17,18,19,20,21
,17,18,19,20,21,22,23,,,,22,23,24,25,26,27,28
,24,25,26,27,28,29,30,,,,29,30,,,,,
,31,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,April,,,,,,,,,,October,,,,,
,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
,,1,2,3,4,5,6,,,,,,1,2,3,4,5
,7,8,9,10,11,12,13,,,,6,7,8,9,10,11,12
,14,15,16,17,18,19,20,,,,13,14,15,16,17,18,19
,21,22,23,24,25,26,27,,,,20,21,22,23,24,25,26
,28,29,30,,,,,,,,27,28,29,30,31,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,May,,,,,,,,,,November,,,,,
,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
,,,,1,2,3,4,,,,,,,,,1,2
,5,6,7,8,9,10,11,,,,3,4,5,6,7,8,9
,12,13,14,15,16,17,18,,,,10,11,12,13,14,15,16
,19,20,21,22,23,24,25,,,,17,18,19,20,21,22,23
,26,27,28,29,30,31,,,,,24,25,26,27,28,29,30
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,June,,,,,,,,,,December,,,,,
,,,,,,,,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
,,,,,,,1,,,,1,2,3,4,5,6,7
,2,3,4,5,6,7,8,,,,8,9,10,11,12,13,14
,9,10,11,12,13,14,15,,,,15,16,17,18,19,20,21
,16,17,18,19,20,21,22,,,,22,23,24,25,26,27,28
,23,24,25,26,27,28,29,,,,29,30,31,,,,
,30,,,,,,,,,,,,,,,,
